,code,법정동명
237,1120000800,서울특별시 성동구 송파동
238,1120000900,서울특별시 성동구 석촌동
239,1120001000,서울특별시 성동구 삼전동
240,1120001100,서울특별시 성동구 가락동
241,1120001200,서울특별시 성동구 이동
242,1120001300,서울특별시 성동구 오금동
243,1120001400,서울특별시 성동구 방이동
244,1120001500,서울특별시 성동구 문정동
245,1120001600,서울특별시 성동구 장지동
246,1120001700,서울특별시 성동구 거여동
247,1120001800,서울특별시 성동구 마천동
248,1120001900,서울특별시 성동구 잠실동
249,1120002000,서울특별시 성동구 신천동
250,1120002100,서울특별시 성동구 일원동
251,1120002200,서울특별시 성동구 수서동
252,1120002300,서울특별시 성동구 자곡동
253,1120002400,서울특별시 성동구 율현동
254,1120002500,서울특별시 성동구 세곡동
255,1120002600,서울특별시 성동구 역삼동
256,1120002700,서울특별시 성동구 포이동
257,1120002800,서울특별시 성동구 개포동
258,1120002900,서울특별시 성동구 도곡동
259,1120003000,서울특별시 성동구 논현동
260,1120003100,서울특별시 성동구 신사동
261,1120003200,서울특별시 성동구 학동
262,1120003300,서울특별시 성동구 압구정동
263,1120003400,서울특별시 성동구 청담동
264,1120003500,서울특별시 성동구 삼성동
265,1120003600,서울특별시 성동구 대치동
266,1120003700,서울특별시 성동구 염곡동
267,1120003800,서울특별시 성동구 내곡동
268,1120003900,서울특별시 성동구 신원동
269,1120004000,서울특별시 성동구 반포동
270,1120004100,서울특별시 성동구 잠원동
271,1120004200,서울특별시 성동구 서초동
272,1120004300,서울특별시 성동구 양재동
273,1120004400,서울특별시 성동구 우면동
274,1120004500,서울특별시 성동구 원지동
275,1120004600,서울특별시 성동구 황학동
276,1120004700,서울특별시 성동구 무학동
277,1120004800,서울특별시 성동구 흥인동
278,1120004900,서울특별시 성동구 신당동
279,1120005000,서울특별시 성동구 용두동
280,1120005100,서울특별시 성동구 답십리동
281,1120005200,서울특별시 성동구 면목동
282,1120005300,서울특별시 성동구 금호동
283,1120005400,서울특별시 성동구 명일동
284,1120005500,서울특별시 성동구 하일동
285,1120005600,서울특별시 성동구 고덕동
286,1120010100,서울특별시 성동구 상왕십리동
287,1120010200,서울특별시 성동구 하왕십리동
288,1120010300,서울특별시 성동구 홍익동
289,1120010400,서울특별시 성동구 도선동
290,1120010500,서울특별시 성동구 마장동
291,1120010600,서울특별시 성동구 사근동
292,1120010700,서울특별시 성동구 행당동
293,1120010800,서울특별시 성동구 응봉동
294,1120010900,서울특별시 성동구 금호동1가
295,1120011000,서울특별시 성동구 금호동2가
296,1120011100,서울특별시 성동구 금호동3가
297,1120011200,서울특별시 성동구 금호동4가
298,1120011300,서울특별시 성동구 옥수동
299,1120011400,서울특별시 성동구 성수동1가
300,1120011500,서울특별시 성동구 성수동2가
301,1120011600,서울특별시 성동구 화양동
302,1120011700,서울특별시 성동구 모진동
303,1120011800,서울특별시 성동구 송정동
304,1120011900,서울특별시 성동구 군자동
305,1120012000,서울특별시 성동구 중곡동
306,1120012100,서울특별시 성동구 능동
307,1120012200,서울특별시 성동구 용답동
308,1120012300,서울특별시 성동구 광장동
309,1120012400,서울특별시 성동구 구의동
310,1120012500,서울특별시 성동구 자양동
311,1120090100,서울특별시 성동구 왕십리1동
312,1120090200,서울특별시 성동구 왕십리2동
313,1120090300,서울특별시 성동구 행당1동
314,1120090400,서울특별시 성동구 행당2동
315,1120090500,서울특별시 성동구 중곡1동
316,1120090600,서울특별시 성동구 중곡2동
317,1120090700,서울특별시 성동구 중곡3동
318,1120090800,서울특별시 성동구 중곡4동
319,1120090900,서울특별시 성동구 옥수1동
320,1120091000,서울특별시 성동구 옥수2동
321,1120091100,서울특별시 성동구 성수1가1동
322,1120091200,서울특별시 성동구 성수1가2동
323,1120091300,서울특별시 성동구 성수2가1동
324,1120091400,서울특별시 성동구 성수2가2동
325,1120091500,서울특별시 성동구 성수2가3동
326,1120091600,서울특별시 성동구 성수2가4동
327,1120091700,서울특별시 성동구 자양1동
328,1120091800,서울특별시 성동구 자양2동
329,1120091900,서울특별시 성동구 자양3동
330,1120092000,서울특별시 성동구 구의1동
331,1120092100,서울특별시 성동구 구의2동
332,1121500000,서울특별시 광진구
333,1121510100,서울특별시 광진구 중곡동
334,1121510200,서울특별시 광진구 능동
335,1121510300,서울특별시 광진구 구의동
336,1121510400,서울특별시 광진구 광장동
337,1121510500,서울특별시 광진구 자양동
338,1121510600,서울특별시 광진구 노유동
339,1121510700,서울특별시 광진구 화양동
340,1121510800,서울특별시 광진구 모진동
341,1121510900,서울특별시 광진구 군자동
342,1123000000,서울특별시 동대문구
343,1123000100,서울특별시 동대문구 면목동
344,1123000200,서울특별시 동대문구 상봉동
345,1123000300,서울특별시 동대문구 중화동
346,1123000400,서울특별시 동대문구 묵동
347,1123000500,서울특별시 동대문구 망우동
348,1123000600,서울특별시 동대문구 신내동
349,1123000700,서울특별시 동대문구 중곡동
350,1123000800,서울특별시 동대문구 능동
351,1123000900,서울특별시 동대문구 군자동
352,1123001000,서울특별시 동대문구 종암동
353,1123001100,서울특별시 동대문구 안암동4가
354,1123001200,서울특별시 동대문구 안암동5가
355,1123001300,서울특별시 동대문구 석관동
356,1123001400,서울특별시 동대문구 보문동1가
357,1123001500,서울특별시 동대문구 보문동2가
358,1123001600,서울특별시 동대문구 보문동3가
359,1123001700,서울특별시 동대문구 보문동4가
360,1123001800,서울특별시 동대문구 보문동5가
361,1123001900,서울특별시 동대문구 보문동6가
362,1123002000,서울특별시 동대문구 보문동7가
363,1123002100,서울특별시 동대문구 창신동
364,1123002200,서울특별시 동대문구 숭인동
365,1123010100,서울특별시 동대문구 신설동
366,1123010200,서울특별시 동대문구 용두동
367,1123010300,서울특별시 동대문구 제기동
368,1123010400,서울특별시 동대문구 전농동
369,1123010500,서울특별시 동대문구 답십리동
370,1123010600,서울특별시 동대문구 장안동
371,1123010700,서울특별시 동대문구 청량리동
372,1123010800,서울특별시 동대문구 회기동
373,1123010900,서울특별시 동대문구 휘경동
374,1123011000,서울특별시 동대문구 이문동
375,1123090100,서울특별시 동대문구 용두1동
376,1123090200,서울특별시 동대문구 용두2동
377,1123090300,서울특별시 동대문구 제기1동
378,1123090400,서울특별시 동대문구 제기2동
379,1123090500,서울특별시 동대문구 전농1동
380,1123090600,서울특별시 동대문구 전농2동
381,1123090700,서울특별시 동대문구 전농3동
382,1123090800,서울특별시 동대문구 전농4동
383,1123090900,서울특별시 동대문구 답십리1동
384,1123091000,서울특별시 동대문구 답십리2동
385,1123091100,서울특별시 동대문구 답십리3동
386,1123091200,서울특별시 동대문구 답십리4동
387,1123091300,서울특별시 동대문구 답십리5동
388,1123091400,서울특별시 동대문구 장안1동
389,1123091500,서울특별시 동대문구 장안2동
390,1123091600,서울특별시 동대문구 장안3동
391,1123091700,서울특별시 동대문구 장안4동
392,1123091800,서울특별시 동대문구 청량리1동
393,1123091900,서울특별시 동대문구 청량리2동
394,1123092000,서울특별시 동대문구 휘경1동
395,1123092100,서울특별시 동대문구 휘경2동
396,1123092200,서울특별시 동대문구 이문1동
397,1123092300,서울특별시 동대문구 이문2동
398,1123092400,서울특별시 동대문구 이문3동
399,1126000000,서울특별시 중랑구
400,1126010100,서울특별시 중랑구 면목동
401,1126010200,서울특별시 중랑구 상봉동
402,1126010300,서울특별시 중랑구 중화동
403,1126010400,서울특별시 중랑구 묵동
404,1126010500,서울특별시 중랑구 망우동
405,1126010600,서울특별시 중랑구 신내동
406,1126090100,서울특별시 중랑구 면목1동
407,1126090200,서울특별시 중랑구 면목2동
408,1126090300,서울특별시 중랑구 면목3동
409,1126090400,서울특별시 중랑구 면목4동
410,1126090500,서울특별시 중랑구 면목5동
411,1126090600,서울특별시 중랑구 면목6동
412,1126090700,서울특별시 중랑구 면목7동
413,1126090800,서울특별시 중랑구 상봉1동
414,1126090900,서울특별시 중랑구 상봉2동
415,1126091000,서울특별시 중랑구 중화1동
416,1126091100,서울특별시 중랑구 중화2동
417,1126091200,서울특별시 중랑구 묵1동
418,1126091300,서울특별시 중랑구 묵2동
419,1126091400,서울특별시 중랑구 망우1동
420,1126091500,서울특별시 중랑구 망우2동
421,1126091600,서울특별시 중랑구 망우3동
422,1129000000,서울특별시 성북구
423,1129000100,서울특별시 성북구 미아동
