,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
23984,경기도혈액원,경기도 수원시 팔달구 아주로 9 용성빌딩 2층,경기도 수원시 팔달구 우만2동 578-1 용성빌딩 2층,2,2015-12,37.275741,127.043703
25766,수원시청,,경기도 수원시 권선구 권선동 856-4,1,,37.243254,127.019276
25767,수원시청,,경기도 수원시 장안구 정자동 897,1,,37.294637,126.994687
25768,수원시청,,경기도 수원시 장안구 천천동 12-1,1,,37.304658,126.982214
25769,수원시청,,경기도 수원시 팔달구 화서동 407,1,,37.283094,126.98581
25770,수원시청,,경기도 수원시 영통구 신동 940,1,,37.246787,127.046113
25771,수원시청,,경기도 수원시 장안구 영화동 380-112,1,,37.295035,127.02456
27409,대전광역시 서구청,대전광역시 서구 가수원중로57번길 73(가수원동),대전광역시 서구 가수원동 815-6,1,2010-12,36.297265,127.3538631
27819,경기도 수원시,,경기도 수원시 장안구 송죽동 417-25,1,2011-09,37.298563,126.9997803
28298,경기도 수원시,,경기도 수원시 영통구 영통동 1012-4,1,2011-09,37.2505232,127.0783891
28330,대전광역시 서구청,대전광역시 서구 벌곡로 1359(가수원동),대전광역시 서구 가수원동 471,1,2010-12,36.3027731,127.3528022
36290,공주시청,,"충청남도 공주시 우성면 용봉리 419-2, 공수원추어탕 근처",1,2017-05,36.440992,127.017197
36515,공주시청,,충청남도 공주시 금학동 186-2 (금학동사무소 옆 수원지공원길 입구),1,2015-07,36.4386331748,127.1187478426
36516,공주시청,,충청남도 공주시 금학동 186-2 (금학동사무소 옆 수원지공원길 입구),1,2015-07,36.4386331748,127.1187478426
39013,대전광역시 서구청,대전광역시 서구 가수원중로 43-11(가수원동),대전광역시 서구 가수원동 788-4,1,2010-07,36.3007522,127.3530783
39561,용인시,,"경기도 용인시 처인구 남사면 원암리 195-5 표준공업 연수원, 415-10 (표준페인트 앞),",1,2009-01,37.091149,127.148981
40864,수원도시공사 견인거주자팀,경기도 수원시 권선구 정조로 304,경기도 수원시 권선구 대황교동 253,16,2020-12,37.237136,127.018602
40865,수원도시공사 견인거주자팀,,경기도 수원시 장안구 율전동 181-53,4,2020-12,37.301448,126.966327
40866,수원도시공사 견인거주자팀,,경기도 수원시 장안구 조원1동 859-1,3,2020-01,37.3035517,127.016632
41377,경기도 수원시,,경기도 수원시 영통구 영통동 972-4,1,2011-09,37.2491545,127.0608047
41509,용인시,,경기도 용인시 처인구 마평동 586-7 약수터 앞 약수원룸,4,2008-01,37.230471,127.215661
