,관리기관명,소재지도로명주소,소재지지번주소,카메라대수,설치연월,위도,경도
24384,경상남도 창원시,경상남도 창원시 의창구 신월로72번길 24,경상남도 창원시 의창구 신월동 85-12,2,2018-03,35.22463325,128.693107
24385,경상남도 창원시,경상남도 창원시 의창구 창이대로478번길 6-1,경상남도 창원시 의창구 용호동 23-10,2,2019-05,35.23770331,128.686247
24386,경상남도 창원시,경상남도 창원시 의창구 창이대로440번길 12,경상남도 창원시 의창구 용호동 41-11,3,2018-03,35.23971161,128.6827964
24387,경상남도 창원시,경상남도 창원시 의창구 원이대로589번길 6-2,경상남도 창원시 의창구 용호동 73-46,2,2019-05,35.2284081,128.6798376
24388,경상남도 창원시,,경상남도 창원시 의창구 신월동 12-97,1,2020-06,35.2312565,128.6931725
24389,경상남도 창원시,경상남도 창원시 의창구 상남로230번길 52,경상남도 창원시 의창구 신월동 19-1,3,2020-06,35.22924318,128.6946121
24390,경상남도 창원시,경상남도 창원시 의창구 신월로71번길 3,경상남도 창원시 의창구 신월동 31-9,3,2020-06,35.22673969,128.6949488
24391,경상남도 창원시,경상남도 창원시 의창구 상남로192번길 23,경상남도 창원시 의창구 신월동 63-18,2,2018-03,35.22797971,128.6897413
24392,경상남도 창원시,경상남도 창원시 의창구 용호로 113,경상남도 창원시 의창구 용호동 32-6,4,2020-06,35.23806908,128.6835449
24641,경상남도 창원시,경상남도 창원시 의창구 의창대로238번길 14,경상남도 창원시 의창구 서상동 657,3,2013-10,35.26051869,128.6236553
24671,경상남도 창원시,경상남도 창원시 의창구 의창대로238번길 14,경상남도 창원시 의창구 서상동 657,3,2016-11,35.26046292,128.6226456
24672,경상남도 창원시,경상남도 창원시 의창구 의창대로238번길 14,경상남도 창원시 의창구 서상동 657,1,2018-09,35.25972214,128.6236077
24703,경상남도 창원시,,경상남도 창원시 의창구 소답동 128-5,2,2019-05,35.26733629,128.6279796
24733,경상남도 창원시,,경상남도 창원시 의창구 도계동 413-4,2,2019-05,35.25693893,128.6407685
24734,경상남도 창원시,,경상남도 창원시 의창구 명서동193,2,2019-05,35.24094925,128.6473382
24800,경상남도 창원시,경상남도 창원시 의창구 사림로123번길 6,경상남도 창원시 의창구 사림동 62-7,1,2016-06,35.24424107,128.6857968
24801,경상남도 창원시,경상남도 창원시 의창구 사림로71번길 15,경상남도 창원시 의창구 사림동 111-9,1,2017-06,35.2477143,128.6810401
24802,경상남도 창원시,경상남도 창원시 의창구 사림로8번길 23,경상남도 창원시 의창구 사림동 94-9,1,2017-06,35.24441808,128.6775405
24803,경상남도 창원시,경상남도 창원시 의창구 지귀로76번길 19-1,경상남도 창원시 의창구 봉곡동 22-9,2,2017-06,35.24551715,128.6531952
24804,경상남도 창원시,경상남도 창원시 의창구 창이대로197번길 10-7,경상남도 창원시 의창구 봉곡동 61-5,2,2019-12,35.24596385,128.6591822
24805,경상남도 창원시,경상남도 창원시 의창구 봉곡로97번길 10,경상남도 창원시 의창구 봉곡동 135-2,4,2019-12,35.24904464,128.670381
24806,경상남도 창원시,,경상남도 창원시 의창구 봉곡동 154-20,5,2018-06,35.24903149,128.6704908
24807,경상남도 창원시,경상남도 창원시 의창구 봉곡로93번길 38,경상남도 창원시 의창구 봉곡동 154-6,3,2018-06,35.24915381,128.6739909
29467,용산구청,서울특별시 용산구 효창원로 17,서울특별시 용산구 산천동 193,1,,37.534342,126.949364
33492,용산구청,서울특별시 용산구 효창원로104나길 9,서울특별시 용산구 서계동 252-84,2,,37.551009,126.964655
33493,용산구청,서울특별시 용산구 효창원로94다길 11,서울특별시 용산구 청파동 204,3,,37.548631,126.964469
33523,용산구청,서울특별시 용산구 효창원로86나길 1,서울특별시 용산구 청파동2가 1-34,4,,37.547347,126.964973
33527,용산구청,서울특별시 용산구 효창원로 228,서울특별시 용산구 청파동2가 1-42,1,,37.547337,126.963462
33533,용산구청,서울특별시 용산구 효창원로86가길 32,서울특별시 용산구 청파동 89-122,5,,37.548296,126.965121
